,0,1,2,3
0,3,3,3,2
1,4,3,4,3
2,4,3,4,3
3,0,0,0,0
4,0,0,0,0
5,4,3,3,3
6,4,3,4,3
7,4,2,3,2
8,0,0,0,0
9,1,0,0,0
10,3,2,3,2
11,3,2,1,1
12,2,2,1,1
13,4,3,3,3
14,3,2,3,2
15,2,1,1,1
16,3,3,3,2
17,0,0,0,0
18,0,0,0,0
19,2,1,1,1
20,4,3,3,2
21,3,2,3,2
22,4,3,4,3
23,3,1,3,2
24,3,2,3,2
25,4,3,4,3
26,3,3,4,3
27,3,2,2,1
28,0,0,0,0
29,3,3,4,3
30,2,1,1,1
31,4,3,4,3
32,2,1,1,1
33,4,3,3,3
34,2,1,2,1
35,2,2,1,1
36,1,1,1,1
37,0,0,0,0
38,3,2,3,2
39,2,1,1,1
40,1,1,1,1
41,1,0,0,0
42,4,2,3,2
43,1,0,0,0
44,4,3,4,3
45,2,2,2,1
46,2,1,2,1
47,3,2,1,1
48,3,3,4,3
49,2,2,1,1
50,0,0,0,0
51,4,3,4,3
52,4,3,4,3
53,1,1,0,1
54,0,0,0,0
55,3,2,2,2
56,1,0,0,0
57,2,1,1,1
58,3,2,2,2
59,4,3,3,2
60,3,3,4,3
61,3,2,3,2
62,3,2,3,2
63,0,0,0,0
64,2,1,1,1
65,4,3,4,3
66,3,2,3,2
67,0,0,0,0
68,3,2,2,2
69,3,2,3,2
70,3,2,1,1
71,2,3,1,1
72,3,3,3,2
73,3,1,2,1
74,4,2,4,3
75,1,1,0,0
76,0,1,0,0
77,1,0,0,0
78,4,3,4,3
79,3,2,1,1
80,3,1,1,1
81,2,1,1,1
82,3,3,3,2
83,4,3,4,3
84,4,3,4,3
85,4,3,2,2
86,4,3,4,3
87,0,0,0,0
88,0,0,0,0
89,2,1,1,1
90,4,3,4,3
91,0,0,0,0
92,0,0,0,0
93,2,1,1,1
94,0,0,0,0
95,3,2,4,2
96,0,0,0,0
97,4,3,2,2
98,4,2,4,3
99,4,3,4,3
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,3,2,2,1
104,3,3,3,2
105,4,3,4,3
106,3,3,4,3
107,1,1,1,1
108,0,0,0,0
109,4,3,3,2
110,3,2,2,2
111,3,2,3,2
112,0,0,0,0
113,2,1,1,1
114,0,0,0,0
115,3,3,3,2
116,1,1,1,1
117,2,1,1,1
118,4,2,4,3
119,4,3,4,3
120,4,3,4,3
121,4,3,3,3
122,0,0,0,0
123,4,3,3,2
124,2,2,3,2
125,3,3,3,2
