,timestamp,Label,Qlv_disc,Qmc_disc,Qhv_disc,Qmv_disc,Kesimpulan,,
4,05/10/2015 02:00,a,0,0,0,0,no,,1
5,10/10/2015 05:00,a,0,0,0,0,no,,2
9,06/10/2015 04:00,a,0,0,0,0,no,,3
10,06/10/2015 06:00,a,0,1,0,0,no,,4
18,07/10/2015 03:00,a,0,0,0,0,no,,5
19,04/10/2015 02:00,a,0,0,0,0,no,,6
29,09/10/2015 04:00,a,0,0,0,0,no,,7
38,04/10/2015 05:00,a,0,0,0,0,no,,8
42,07/10/2015 06:00,a,0,1,0,0,no,,9
44,09/10/2015 06:00,a,0,1,0,0,no,,10
51,10/10/2015 02:00,a,0,0,0,0,no,,11
55,09/10/2015 05:00,a,0,0,0,0,no,,12
57,05/10/2015 06:00,a,0,1,0,0,no,,13
64,05/10/2015 04:00,a,0,0,0,0,no,,14
68,10/10/2015 03:00,a,0,0,0,0,no,,15
76,10/10/2015 06:00,a,0,1,1,0,no,,16
77,10/10/2015 01:00,a,0,0,1,0,no,,17
78,04/10/2015 06:00,a,0,1,0,0,no,,18
88,05/10/2015 01:00,a,0,0,0,0,no,,19
89,08/10/2015 05:00,a,0,0,0,0,no,,20
92,07/10/2015 05:00,a,0,0,0,0,no,,21
93,09/10/2015 03:00,a,0,0,0,0,no,,22
95,08/10/2015 02:00,a,0,0,0,0,no,,23
97,04/10/2015 03:00,a,0,0,0,0,no,,24
101,10/10/2015 04:00,a,0,0,0,0,no,,25
102,06/10/2015 02:00,a,0,0,0,0,no,,26
103,09/10/2015 01:00,a,0,0,0,0,no,,27
109,06/10/2015 03:00,a,0,0,0,0,no,,28
113,09/10/2015 02:00,a,0,0,0,0,no,,29
115,06/10/2015 01:00,a,0,0,0,0,no,,30
123,04/10/2015 01:00,a,0,0,0,0,no,,31
12,05/10/2015 08:00,b,1,2,2,1,no,,32
13,08/10/2015 21:00,b,1,1,2,1,no,,33
16,10/10/2015 23:00,b,1,1,1,1,no,,34
20,09/10/2015 23:00,b,1,1,1,1,no,,35
28,05/10/2015 13:00,b,2,2,2,1,no,,36
31,06/10/2015 23:00,b,1,1,1,1,no,,37
33,06/10/2015 07:00,b,1,1,1,1,no,,38
35,05/10/2015 22:00,b,2,1,1,1,no,,39
36,04/10/2015 20:00,b,1,1,2,1,no,,40
37,07/10/2015 00:00,b,1,1,1,1,no,,41
40,07/10/2015 22:00,b,1,1,1,1,no,,42
41,05/10/2015 00:00,b,1,1,1,1,no,,43
46,10/10/2015 22:00,b,2,1,2,1,no,,44
47,06/10/2015 21:00,b,2,1,1,1,no,,45
48,04/10/2015 09:00,b,1,2,2,1,no,,46
50,05/10/2015 09:00,b,1,1,2,1,no,,47
54,07/10/2015 01:00,b,0,1,1,1,no,,48
58,04/10/2015 23:00,b,1,1,1,1,no,,49
65,05/10/2015 07:00,b,1,1,1,1,no,,50
71,04/10/2015 08:00,b,1,2,2,1,no,,51
72,08/10/2015 07:00,b,1,1,3,1,no,,52
74,07/10/2015 21:00,b,2,2,1,1,no,,53
80,10/10/2015 07:00,b,1,2,2,1,no,,54
81,07/10/2015 07:00,b,1,2,1,1,no,,55
82,05/10/2015 23:00,b,1,1,1,1,no,,56
90,08/10/2015 22:00,b,1,1,1,1,no,,57
94,08/10/2015 23:00,b,1,1,1,1,no,,58
104,10/10/2015 21:00,b,2,2,2,1,no,,59
108,08/10/2015 00:00,b,1,1,1,1,no,,60
114,04/10/2015 22:00,b,1,1,1,1,no,,61
117,11/10/2015 00:00,b,1,1,1,1,no,,62
118,05/10/2015 21:00,b,1,1,1,1,no,,63
1,09/10/2015 12:00,c,2,2,3,2,yes,,64
8,06/10/2015 18:00,c,2,3,2,2,yes,,65
11,08/10/2015 12:00,c,2,2,2,2,yes,,66
15,05/10/2015 16:00,c,2,2,2,2,yes,,67
17,04/10/2015 15:00,c,2,2,3,2,yes,,68
21,06/10/2015 14:00,c,2,3,3,2,yes,,69
22,05/10/2015 11:00,c,2,2,2,2,yes,,70
24,04/10/2015 19:00,c,2,2,1,2,yes,,71
25,10/10/2015 20:00,c,2,2,2,2,yes,,72
39,05/10/2015 12:00,c,2,2,2,2,yes,,73
43,08/10/2015 13:00,c,2,3,2,2,yes,,74
56,06/10/2015 20:00,c,2,2,2,2,yes,,75
59,09/10/2015 20:00,c,2,2,2,2,yes,,76
60,04/10/2015 11:00,c,2,3,3,2,yes,,77
62,10/10/2015 19:00,c,2,2,2,2,yes,,78
63,08/10/2015 20:00,c,2,2,2,2,yes,,79
67,07/10/2015 20:00,c,2,2,2,2,yes,,80
69,04/10/2015 12:00,c,2,2,2,2,yes,,81
70,06/10/2015 12:00,c,2,2,2,2,yes,,82
73,10/10/2015 13:00,c,2,2,3,2,yes,,83
83,08/10/2015 11:00,c,2,2,3,2,yes,,84
86,07/10/2015 08:00,c,2,3,3,2,yes,,85
96,06/10/2015 19:00,c,3,2,2,2,yes,,86
98,06/10/2015 09:00,c,2,3,3,2,yes,,87
105,07/10/2015 12:00,c,2,2,3,2,yes,,88
110,04/10/2015 10:00,c,2,3,3,2,yes,,89
111,05/10/2015 20:00,c,2,2,2,2,yes,,90
112,10/10/2015 12:00,c,2,2,2,2,yes,,91
116,04/10/2015 16:00,c,2,2,3,2,yes,,92
124,08/10/2015 18:00,c,2,3,3,2,yes,,93
125,09/10/2015 21:00,c,2,1,2,2,yes,,94
126,05/10/2015 10:00,c,2,2,3,2,yes,,95
2,09/10/2015 16:00,d,3,3,3,3,yes,,96
3,07/10/2015 15:00,d,3,3,3,3,yes,,97
6,07/10/2015 16:00,d,2,3,3,3,yes,,98
7,09/10/2015 18:00,d,3,3,3,3,yes,,99
14,06/10/2015 10:00,d,2,3,3,3,yes,,100
23,09/10/2015 11:00,d,3,3,3,3,yes,,101
26,05/10/2015 15:00,d,3,3,3,3,yes,,102
27,08/10/2015 16:00,d,3,2,3,3,yes,,103
30,07/10/2015 13:00,d,3,2,3,3,yes,,104
32,10/10/2015 09:00,d,3,3,3,3,yes,,105
34,09/10/2015 09:00,d,2,3,3,3,yes,,106
45,10/10/2015 16:00,d,3,3,3,3,yes,,107
49,08/10/2015 17:00,d,3,2,3,3,yes,,108
52,06/10/2015 16:00,d,3,3,3,3,yes,,109
53,10/10/2015 11:00,d,3,3,3,3,yes,,110
61,08/10/2015 14:00,d,3,2,3,3,yes,,111
66,08/10/2015 08:00,d,3,3,3,3,yes,,112
75,07/10/2015 11:00,d,3,3,2,3,yes,,113
79,05/10/2015 17:00,d,3,3,3,3,yes,,114
84,06/10/2015 15:00,d,3,3,3,3,yes,,115
85,07/10/2015 14:00,d,3,3,3,3,yes,,116
87,06/10/2015 11:00,d,3,3,3,3,yes,,117
91,07/10/2015 17:00,d,3,3,3,3,yes,,118
99,07/10/2015 19:00,d,3,3,2,3,yes,,119
100,08/10/2015 10:00,d,3,3,3,3,yes,,120
106,09/10/2015 08:00,d,3,3,3,3,yes,,121
107,08/10/2015 15:00,d,3,2,3,3,yes,,122
119,05/10/2015 18:00,d,3,3,2,3,yes,,123
120,09/10/2015 10:00,d,3,3,3,3,yes,,124
121,10/10/2015 17:00,d,3,3,3,3,yes,,125
122,07/10/2015 10:00,d,2,3,3,3,yes,,126
